TERM,CAMPUS,XLST,CRN,DAYS,START,END,ROOM
202501,PA,"",13198,TR,1130,1245,AA 2140
202501,PA,"",13437,MW,1000,1115,AA 1270
202501,PA,"",13460,MW,830,945,AA 2140
202501,PA,"",13461,MW,1130,1245,AA 2140
202501,PA,"",13462,TR,1000,1115,AA 2135
202501,PA,"",13466,TR,1130,1245,AA 2135
202501,PA,"",13468,TR,1430,1545,AA 2130
202501,PA,"",13469,TR,830,945,AA 2135
202501,PA,"",13472,TR,1430,1545,AA 2145
202501,PA,"",13473,MW,1000,1115,AA 2310
202501,PA,"",13474,TR,1000,1115,AA 2240
202501,PA,"",13475,TR,1300,1415,AA 2240
202501,PA,"",13476,MW,830,945,AA 2310
202501,PA,"",13477,MW,1430,1545,AA 2240
202501,PA,"",13479,MW,1300,1355,AA 2310
202501,PA,"",13481,MW,1000,1115,AA 2160
202501,PA,"",13482,MW,1130,1245,AA 2200
202501,PA,"",13483,TR,1130,1245,AA 2200
202501,PA,"",13484,TR,1300,1415,AA 2300
202501,PA,"",13485,MW,1130,1245,AA 2160
202501,PA,"",13488,TR,1000,1115,AA 2160
202501,PA,"",13773,TR,1430,1525,AB 113
202501,PA,"",13877,MW,830,945,AB 107
202501,PA,"",13878,M,1000,1245,AB 218
202501,PA,"",13880,R,1000,1245,AB 218
202501,PA,"",13883,MW,1130,1245,AB 107
202501,PA,"",13885,TR,1300,1415,AB 107
202501,PA,"",13886,TR,1430,1545,AB 206
202501,PA,"",13887,MW,1600,1715,AB 204
202501,PA,"",13888,W,1300,1545,AB 218
202501,PA,"",13908,M,1300,1545,AB 232
202501,PA,"",14060,TR,1000,1115,AA 2280
202501,PA,"",14069,TR,1000,1055,AA 2310
202501,PA,"",14077,MW,830,945,AB 204
202501,PA,"",14078,MW,1000,1115,AB 206
202501,PA,"",14079,TR,1300,1415,AB 212
202501,PA,"",14105,TR,1000,1115,AA 2200
202501,PA,"",14110,MW,1000,1055,AA 2230
202501,PA,"",14112,MW,1130,1225,AA 2230
202501,PA,"",14233,TR,1130,1245,AB 107
202501,PA,"",14421,R,1300,1545,AB 132
202501,PA,"",14426,TR,1430,1545,AB 107
202501,PA,"",14427,R,1600,1845,AB 232
202501,PA,"",14478,MW,1130,1245,AA 2310
202501,PA,"",14479,TR,1300,1415,AA 2160
202501,PA,"",14490,T,1000,1245,AB 232
202501,PA,"",14493,MW,700,815,AA 2130
202501,PA,"",14494,MW,1000,1115,AA 2140
202501,PA,"",14511,MW,1130,1245,AB 220
202501,PA,"",14512,MW,1000,1055,AB 204
202501,PA,"",15046,TR,1000,1115,AA 1150
202501,PA,"",15216,W,1300,1545,AB 130
202501,PA,"",15236,MW,1300,1415,AA 2280
202501,PA,"",15242,TR,1130,1225,AA 1150
202501,PA,"",15244,TR,1130,1225,AA 2230
202501,PA,"",15256,MW,1300,1415,AA 2300
202501,PA,"",15276,T,1600,1845,AB 218
202501,PA,"",15413,TR,1300,1415,AB 204
202501,PA,"",15415,TR,1000,1055,AA 2230
202501,PA,"",15436,MW,1130,1245,AA 2300
202501,PA,"",15534,T,1130,1225,AB 204
202501,PA,"",15535,TR,1000,1115,AB 204
202501,PA,"",15653,TR,1430,1545,AA 2160
202501,PA,"",15666,MW,830,945,AB 212
202501,PA,"",15667,MW,1000,1115,AB 212
202501,PA,"",15706,TR,1300,1415,AA 2135
202501,PA,"",15732,W,1300,1545,AB 232
202501,PA,"",15733,R,1000,1245,AB 232
202501,PA,"",15844,W,1130,1245,AA 2275
202501,PA,"",15905,MW,1000,1115,AA 2240
202501,PA,"",15945,T,1300,1545,AB 132
202501,PA,"",15950,MW,1300,1355,AB 204
202501,PA,"",15951,MW,1130,1245,AB 204
202501,PA,"",15978,MW,1130,1245,AB 106
202501,PA,"",15988,MW,1000,1115,AA 2135
202501,PA,"",16218,TR,830,945,AA 2160
202501,PA,"",16362,MW,1130,1225,AB 212
202501,PA,"",16678,TR,1130,1245,AA 2145
202501,PA,"",16847,MW,1800,1915,AA 2280
202501,PA,"",17204,TR,1130,1245,AB 223
202501,PA,"",17205,R,1730,2015,AB 130
202501,PA,"",17207,T,1300,1545,AB 230
202501,PA,"",17427,TR,1300,1415,AA 2230
202501,PA,"",17756,TR,830,945,AB 206
202501,PA,"",17812,MW,1000,1115,AB 222
202501,PA,"",17813,TR,830,945,AB 222
202501,PA,"",17814,T,1000,1245,AB 132
202501,PA,"",18035,MW,1800,1915,AA 2160
202501,PA,"",18053,MW,1130,1225,AA 1150
202501,PA,"",18054,MW,1000,1115,AA 1150
202501,PA,"",18055,MW,1000,1115,AA 2145
202501,PA,"",18197,MW,1600,1715,AB 206
202501,PA,"",18198,M,1300,1545,AB 130
202501,PA,"",18199,MW,830,945,AB 206
202501,PA,"",18200,W,1000,1245,AB 218
202501,PA,"",18432,TR,1000,1115,AA 2275
202501,PA,"",18516,TR,1000,1115,AA 2145
202501,PA,"",18638,M,1000,1245,AB 216
202501,PA,"",18918,TR,900,1045,AB 220
202501,PA,"",19151,TR,1430,1545,AA 2240
202501,PA,"",19152,TR,1000,1115,AA 2130
202501,PA,"",19242,TR,1130,1225,AA 2310
202501,PA,"",19403,TR,1300,1415,AA 2310
202501,PA,"",19421,MW,1000,1115,AA 2280
202501,PA,"",19423,TR,1130,1245,AA 2160
202501,PA,"",19546,TR,1430,1545,AA 2300
202501,PA,"",19870,T,830,945,AA 1270
202501,PA,"",21093,TR,1300,1545,AB 210
202501,PA,"",21174,MW,830,945,AA 2300
202501,PA,"",21227,MW,1300,1415,AB 212
202501,PA,"",21228,MW,1130,1245,AB 206
202501,PA,"",21327,MW,1430,1525,AA 1270
202501,PA,"",21329,MW,1300,1415,AA 1270
202501,PA,"",21330,MW,1130,1245,AA 2145
202501,PA,"",21333,MW,1300,1415,AA 2135
202501,PA,"",21506,TR,1000,1115,AA 2140
202501,PA,"",21507,MW,830,945,AA 2240
202501,PA,"",21593,MW,1000,1055,AA 2200
202501,PA,"",21624,TR,900,1045,AB 113
202501,PA,"",21696,TR,1730,1845,AB 106
202501,PA,"",21697,T,1900,2145,AB 132
202501,PA,"",21698,W,1730,2015,AB 130
202501,PA,"",21699,W,1000,1245,AB 216
202501,PA,"",21710,TR,1000,1115,AA 2270
202501,PA,"",21717,MW,1300,1415,AA 2200
202501,PA,"",21800,TR,1130,1245,AA 2130
202501,PA,"",22074,MW,1130,1245,AA 2240
202501,PA,"",22151,TR,1300,1415,AA 2145
202501,PA,"",22152,TR,1130,1245,AA 2240
202501,PA,"",22153,TR,1430,1545,AA 2310
202501,PA,"",22263,R,1430,1715,AB 130
202501,PA,"",22537,TR,1000,1115,AB 206
202501,PA,"",22538,R,1130,1225,AB 206
202501,PA,PCA00,13801,MW,700,845,AB 222
202501,PA,PCA00,16605,MW,700,845,AB 222
202501,PA,PCA01,13800,TR,900,1045,AB 212
202501,PA,PCA01,16472,TR,900,1045,AB 212
202501,PA,PCA02,15981,MW,830,945,AA 2200
202501,PA,PCA02,16837,MW,830,945,AA 2200
202501,PA,PCA04,13463,MW,830,945,AA 2130
202501,PA,PCA04,18954,MW,830,945,AA 2130
202501,PA,PCA05,14420,MW,1130,1245,AB 222
202501,PA,PCA05,15729,MW,1130,1245,AB 222
202501,PA,PCA06,14953,W,1300,1545,AB 132
202501,PA,PCA06,15730,W,1300,1545,AB 132
202501,PA,PCA07,14422,TR,1300,1415,AB 220
202501,PA,PCA07,15849,TR,1300,1415,AB 220
202501,PA,PCA08,14423,T,1000,1245,AB 130
202501,PA,PCA08,15946,T,1000,1245,AB 130
202501,PA,PCA09,13884,TR,1130,1245,AB 222
202501,PA,PCA09,22242,TR,1130,1245,AB 222
202501,PA,PCA12,13903,R,1000,1245,AB 130
202501,PA,PCA12,19587,R,1000,1245,AB 130
202501,PA,PCA14,13433,TR,1000,1115,AA 2300
202501,PA,PCA14,20250,TR,1000,1115,AA 2300
202501,PA,PCA16,13467,TR,830,945,AA 2130
202501,PA,PCA16,18981,TR,830,945,AA 2130
202501,PA,PCA17,13889,W,1000,1245,AB 130
202501,PA,PCA17,19050,W,1000,1245,AB 130
202501,PA,PCA18,13799,MW,900,1045,AB 220
202501,PA,PCA18,20390,MW,900,1045,AB 220
202501,PA,PCA19,17206,MW,830,945,AB 211
202501,PA,PCA19,22203,MW,830,945,AB 211
202501,PA,PCA20,14425,MW,1000,1120,AB 132
202501,PA,PCA20,22204,MW,1000,1120,AB 132
202501,PA,PCSIM07,13879,TR,830,945,AB 107
202501,PA,PCSIM14,19629,MW,1300,1445,AB 114
202501,PA,PCSIM23,18637,MW,830,945,AB 216
202501,PA,PCSIM24,15736,MW,1300,1415,AB 216
202501,PA,PCSIM25,13882,TR,830,945,AB 106
202501,PA,PCSIM25,19586,TR,830,945,AB 106
202501,PA,PCSIM26,13881,MW,830,945,AB 106
202501,PA,PCSIM26,15731,MW,830,945,AB 106
202501,PC,"",13189,MW,1000,1115,CE 1150
202501,PC,"",13200,MW,830,945,CE 2160
202501,PC,"",13201,TR,830,945,CE 2170
202501,PC,"",13202,F,900,1145,CE 2170
202501,PC,"",13203,MW,1000,1115,CA 1401
202501,PC,"",13204,MW,1000,1115,CH 3200
202501,PC,"",13205,TR,1000,1115,CE 2160
202501,PC,"",13206,TR,1130,1245,CE 1140
202501,PC,"",13207,TR,1300,1415,CE 2160
202501,PC,"",13209,MW,1000,1115,CD 1100
202501,PC,"",13212,MW,1300,1415,CD 1100
202501,PC,"",13216,F,900,1145,CC 2230
202501,PC,"",13217,W,1000,1245,CC 2230
202501,PC,"",13218,F,1215,1500,CC 2230
202501,PC,"",13221,S,900,1145,CC 2120
202501,PC,"",13222,R,1300,1545,CC 2120
