TERM,CAMPUS,XLST,CRN,DAYS,START,END,ROOM
202408,PA,"",83699,MW,1130,1245,AA 2130
202408,PA,"",83762,W,1000,1115,AA 2195
202408,PA,"",83763,W,1430,1545,AA 2190
202408,PA,"",83772,TR,830,945,AA 2240
202408,PA,"",83913,TR,1000,1115,AB 206
202408,PA,"",83914,TR,1300,1415,AB 206
202408,PA,"",83915,TR,1000,1115,AA 2300
202408,PA,"",83940,MW,830,945,AA 2135
202408,PA,"",83942,M,1300,1545,AB 218
202408,PA,"",83943,M,1000,1245,AB 216
202408,PA,"",83944,M,1000,1245,AB 218
202408,PA,"",83946,T,1000,1245,AB 216
202408,PA,"",83953,TR,900,1045,AB 113
202408,PA,"",83954,MW,830,945,AB 206
202408,PA,"",83976,TR,1130,1245,AA 2140
202408,PA,"",83977,MW,1300,1415,AA 2140
202408,PA,"",83978,TR,1000,1115,AA 2135
202408,PA,"",83979,MW,1130,1245,AA 2275
202408,PA,"",83981,MW,1000,1115,AA 2280
202408,PA,"",83983,TR,1300,1415,AB 220
202408,PA,"",83984,TR,1300,1415,AB 107
202408,PA,"",83985,TR,1000,1115,AA 2140
202408,PA,"",83986,TR,830,945,AA 2130
202408,PA,"",83988,TR,900,1045,AB 107
202408,PA,"",84195,MW,1130,1245,AA 2300
202408,PA,"",84374,T,1300,1545,AB 218
202408,PA,"",84448,TR,700,815,AB 212
202408,PA,"",84584,T,1130,1245,AA 1270
202408,PA,"",85006,MW,1000,1115,AB 113
202408,PA,"",85037,TR,1130,1225,AB 206
202408,PA,"",85062,TR,1130,1245,AA 2135
202408,PA,"",85244,MW,1130,1225,AA 1150
202408,PA,"",85245,MW,1000,1115,AA 1150
202408,PA,"",85252,M,1130,1225,AB 113
202408,PA,"",85253,TR,1430,1525,AB 206
202408,PA,"",85294,TR,1130,1245,AB 107
202408,PA,"",85296,T,1300,1545,AB 132
202408,PA,"",85302,W,1900,2145,AB 130
202408,PA,"",85304,T,1900,2145,AB 130
202408,PA,"",85305,MW,830,945,AB 106
202408,PA,"",85306,MW,1000,1120,AB 132
202408,PA,"",85307,MW,1130,1245,AB 107
202408,PA,"",85308,M,1300,1545,AB 232
202408,PA,"",85309,W,1300,1545,AB 232
202408,PA,"",85310,T,1300,1545,AB 230
202408,PA,"",85311,T,1000,1245,AB 232
202408,PA,"",85312,R,1000,1245,AB 232
202408,PA,"",85313,TR,1430,1545,AB 107
202408,PA,"",85314,R,1600,1845,AB 232
202408,PA,"",85315,TR,1130,1245,AB 223
202408,PA,"",85587,TR,1000,1115,AA 2200
202408,PA,"",85588,MW,700,815,AA 2130
202408,PA,"",85594,MW,1300,1415,AB 106
202408,PA,"",85714,M,1130,1245,AA 2190
202408,PA,"",85715,R,1130,1245,AA 2195
202408,PA,"",85716,R,830,945,AA 2190
202408,PA,"",85717,R,1000,1115,AA 2190
202408,PA,"",85719,M,1000,1115,AA 2190
202408,PA,"",85720,M,1300,1415,AA 2190
202408,PA,"",86205,MW,1130,1245,AA 2200
202408,PA,"",86206,MW,830,945,AA 2300
202408,PA,"",86448,MW,1800,1915,AA 2280
202408,PA,"",86452,TR,1300,1415,AA 2200
202408,PA,"",86461,MW,1300,1415,AA 2230
202408,PA,"",86464,MW,830,945,AB 220
202408,PA,"",86465,TR,830,945,AB 206
202408,PA,"",86468,MW,1800,1915,AA 2160
202408,PA,"",86470,MW,830,925,AA 2230
202408,PA,"",86471,MW,1300,1415,AA 2130
202408,PA,"",86472,TR,1300,1415,AA 2130
202408,PA,"",86477,MW,1130,1245,AA 2310
202408,PA,"",86695,MW,1130,1245,AB 222
202408,PA,"",86696,W,1300,1545,AB 230
202408,PA,"",86851,TR,1130,1225,AA 2230
202408,PA,"",86853,MW,1000,1115,AB 206
202408,PA,"",86854,TR,830,945,AB 204
202408,PA,"",86855,MW,1130,1245,AB 106
202408,PA,"",87181,TR,830,945,AA 2230
202408,PA,"",87212,TR,1000,1055,AB 204
202408,PA,"",87589,TR,830,945,AA 2200
202408,PA,"",87590,MW,1300,1415,AA 2200
202408,PA,"",87591,TR,1300,1415,AA 2160
